,Unnamed: 0,Unnamed: 0.1,item,condition,sentence,target,alternative,model 0 correct (max),model 0 correct (sample),model 0 target score,model 0 alternative score,model 1 correct (max),model 1 correct (sample),model 1 target score,model 1 alternative score,model 2 correct (max),model 2 correct (sample),model 2 target score,model 2 alternative score,model 3 correct (max),model 3 correct (sample),model 3 target score,model 3 alternative score,model 4 correct (max),model 4 correct (sample),model 4 target score,model 4 alternative score,lstm 0 correct (max),lstm 0 correct (sample),lstm 0 target score,lstm 0 alternative score,lstm 1 correct (max),lstm 1 correct (sample),lstm 1 target score,lstm 1 alternative score,lstm 2 correct (max),lstm 2 correct (sample),lstm 2 target score,lstm 2 alternative score,lstm 3 correct (max),lstm 3 correct (sample),lstm 3 target score,lstm 3 alternative score,lstm 4 correct (max),lstm 4 correct (sample),lstm 4 target score,lstm 4 alternative score,rnng 0 target score,rnng 0 alternative score,rnng 0 correct (max),rnng 0 correct (sample),rnng 1 target score,rnng 1 alternative score,rnng 1 correct (max),rnng 1 correct (sample),rnng 2 target score,rnng 2 alternative score,rnng 2 correct (max),rnng 2 correct (sample),rnng 3 target score,rnng 3 alternative score,rnng 3 correct (max),rnng 3 correct (sample),rnng 4 target score,rnng 4 alternative score,rnng 4 correct (max),rnng 4 correct (sample)
0,0,0,HumphreysBock_0_CPD,CPD,The crowd inside the subway cars,are,is,0,26.62311330246327,-4.1162376403808585,-3.1024084091186523,100,59.510610440942926,-3.648138046264648,-4.033252716064453,0,23.56820312963743,-4.8344011306762695,-3.6579008102416983,0,18.525685352339323,-4.720022201538086,-3.2388925552368164,0,41.02021858833021,-3.5268268585205083,-3.1636972427368164,0,26.62311330246327,-4.1162376403808585,-3.1024084091186523,100,59.510610440942926,-3.648138046264648,-4.033252716064453,0,23.56820312963743,-4.8344011306762695,-3.6579008102416988,0,18.525685352339323,-4.720022201538086,-3.2388925552368164,0,41.02021858833021,-3.5268268585205083,-3.1636972427368164,-62.0578,-62.8108,100,67.98320324764434,-64.2011,-63.4965,0,33.07931388438889,-60.6755,-60.3471,0,41.86299786555185,-65.6446,-63.5193,0,10.666200500582258,-59.6851,-57.5832,0,10.891228836749647
1,1,1,HumphreysBock_0_CPC,CPC,The crowd outside the subway cars,are,is,0,27.175004499937447,-4.046198844909668,-3.0604372024536133,100,55.16588833229355,-3.80888557434082,-4.016261100769043,0,27.0206319786904,-4.493436813354492,-3.4998607635498047,0,20.01425545641318,-4.608124732971191,-3.222721099853516,0,27.731298045327787,-3.976801872253418,-3.0189723968505864,0,27.175004499937447,-4.046198844909668,-3.0604372024536133,100,55.16588833229355,-3.80888557434082,-4.016261100769043,0,27.0206319786904,-4.493436813354492,-3.4998607635498047,0,20.01425545641318,-4.608124732971191,-3.222721099853516,0,27.731298045327787,-3.976801872253418,-3.0189723968505864,-62.9113,-63.4113,100,62.245933120185356,-62.7559,-62.3079,0,38.98363890571905,-61.6561,-62.0787,100,60.4105239328253,-65.4018,-64.0912,0,21.238645973153304,-61.3199,-60.0859,0,22.548209906396476
2,2,2,HumphreysBock_0_CSC,CSC,The crowd outside the subway car,are,is,0,6.224375102015397,-5.293600082397461,-2.5811681747436523,0,8.04851240345799,-5.052499771118164,-2.61672592163086,0,3.7250337542245173,-6.043600082397461,-2.791467666625977,0,9.75682694157462,-5.452051162719727,-3.2275104522705083,0,5.728938954445512,-4.987272262573242,-2.1866283416748047,0,6.224375102015397,-5.293600082397461,-2.5811681747436523,0,8.04851240345799,-5.052499771118164,-2.61672592163086,0,3.725033754224517,-6.043600082397461,-2.791467666625977,0,9.75682694157462,-5.452051162719727,-3.2275104522705083,0,5.728938954445512,-4.987272262573242,-2.1866283416748047,-58.6304,-55.8081,0,5.613095447664579,-57.0634,-55.4711,0,16.906054907327793,-55.6968,-53.5282,0,10.260587081267614,-61.9456,-58.2376,0,2.393937750971742,-57.6433,-53.3097,0,1.295031839256511
3,3,3,HumphreysBock_0_PPD,PPD,The commuters inside the subway cars,are,is,100,97.2101908635799,-2.25826358795166,-5.809165954589844,100,96.65393169487344,-2.5952587127685547,-5.958609580993652,100,96.8580936014955,-2.994948387145996,-6.423365592956543,100,92.10477654435965,-2.8088817596435547,-5.26555061340332,100,98.96288486115743,-2.15179443359375,-6.71009635925293,100,97.2101908635799,-2.25826358795166,-5.809165954589844,100,96.65393169487344,-2.5952587127685547,-5.958609580993652,100,96.8580936014955,-2.994948387145996,-6.423365592956543,100,92.10477654435965,-2.8088817596435547,-5.26555061340332,100,98.96288486115743,-2.15179443359375,-6.71009635925293,-66.8328,-72.294,100,99.57695184692092,-64.511,-69.719,100,99.45571784628508,-66.2494,-70.3075,100,98.30117642837472,-63.3323,-69.1648,100,99.70778231816837,-62.7032,-64.5102,100,85.89989060973542
4,4,4,HumphreysBock_0_PPC,PPC,The commuters outside the subway cars,are,is,100,98.15429187347648,-2.1963853836059566,-6.170063018798827,100,97.45726444572149,-2.5401573181152344,-6.186330795288086,100,97.07151902045237,-2.8959922790527344,-6.396956443786621,100,91.1488182767832,-2.772393226623535,-5.1043357849121085,100,97.81105876781851,-2.3121299743652344,-6.1117496490478525,100,98.15429187347648,-2.1963853836059566,-6.170063018798827,100,97.45726444572149,-2.5401573181152344,-6.186330795288086,100,97.07151902045237,-2.8959922790527344,-6.396956443786621,100,91.1488182767832,-2.772393226623535,-5.1043357849121085,100,97.81105876781851,-2.3121299743652344,-6.1117496490478525,-67.0277,-72.303,100,99.49096229632308,-62.7608,-67.9001,100,99.41723688274497,-65.1942,-69.7639,100,98.97451832773172,-63.9628,-69.8112,100,99.71237857856553,-62.7603,-65.3713,100,93.15661744319424
5,5,5,HumphreysBock_0_PSC,PSC,The commuters outside the subway car,are,is,100,91.31569367142716,-2.611571311950684,-4.964376449584961,100,87.45168098654287,-2.5302143096923837,-4.471714019775392,100,87.52472423437783,-3.3759994506835938,-5.324172019958496,100,76.44206842878701,-3.266610145568848,-4.443680763244629,100,88.3827648889374,-2.6035337448120117,-4.632720947265625,100,91.31569367142716,-2.611571311950684,-4.964376449584961,100,87.45168098654287,-2.5302143096923833,-4.4717140197753915,100,87.52472423437783,-3.3759994506835938,-5.324172019958496,100,76.44206842878701,-3.266610145568848,-4.443680763244629,100,88.3827648889374,-2.603533744812012,-4.632720947265625,-59.9951,-61.0767,100,74.6796649050538,-57.4658,-60.8038,100,96.57096749619113,-58.1903,-61.1032,100,94.84804582882862,-59.8154,-65.0588,100,99.47454891634735,-57.9879,-58.9281,100,71.91400547140645
6,6,6,HumphreysBock_1_CPD,CPD,The jury in the folding chairs,are,is,0,21.311653470647087,-4.7430381774902335,-3.4367971420288086,100,68.32477897824535,-3.6241531372070312,-4.392890930175781,0,41.69086148131578,-4.921999931335449,-4.586523056030273,100,64.46143043708715,-4.1619157791137695,-4.757364273071289,0,47.12691056001484,-3.642719268798828,-3.5276689529418945,0,21.311653470647087,-4.7430381774902335,-3.4367971420288086,100,68.32477897824535,-3.6241531372070312,-4.392890930175781,0,41.69086148131578,-4.921999931335449,-4.586523056030273,100,64.46143043708715,-4.1619157791137695,-4.757364273071289,0,47.12691056001484,-3.642719268798828,-3.5276689529418945,-68.767,-67.6577,0,24.800141322926677,-59.8636,-60.5854,100,67.30032661208986,-63.6873,-62.8099,0,29.37168523619552,-67.3821,-65.3921,0,12.025686246775196,-63.2398,-62.2573,0,27.239601075715715
7,7,7,HumphreysBock_1_CPC,CPC,The jury near the folding chairs,are,is,0,31.097160764685913,-4.290584564208984,-3.495003700256348,100,71.9614590636057,-3.2834529876708984,-4.226003646850587,0,35.68160204092405,-5.116833686828613,-4.527623176574707,0,44.23344184136237,-4.336441993713379,-4.104748725891113,100,53.87362891437221,-3.3007488250732417,-3.456005096435547,0,31.097160764685913,-4.2905845642089835,-3.495003700256348,100,71.9614590636057,-3.2834529876708984,-4.226003646850587,0,35.68160204092405,-5.116833686828613,-4.527623176574707,0,44.23344184136237,-4.336441993713379,-4.104748725891113,100,53.87362891437221,-3.3007488250732417,-3.456005096435547,-70.7627,-69.6605,0,24.932790766450548,-64.9198,-66.0005,100,74.66264289806416,-66.7803,-65.5096,0,21.91374471801689,-70.6864,-69.6682,0,26.53781669751772,-67.8949,-67.6681,0,44.354180197332646
8,8,8,HumphreysBock_1_CSC,CSC,The jury near the folding chair,are,is,0,5.569976791606575,-5.7530269622802725,-2.922558784484864,0,11.416158735600428,-4.686363220214844,-2.6374435424804688,0,2.1225458509171435,-7.228193759918213,-3.3970937728881836,0,6.731664081713301,-5.757551193237305,-3.1288928985595703,0,12.356760458730216,-4.364902496337892,-2.4058313369750977,0,5.569976791606575,-5.7530269622802725,-2.9225587844848637,0,11.416158735600428,-4.686363220214844,-2.6374435424804688,0,2.1225458509171435,-7.228193759918213,-3.397093772888184,0,6.731664081713301,-5.757551193237305,-3.1288928985595703,0,12.356760458730216,-4.3649024963378915,-2.4058313369750977,-73.2089,-67.6586,0,0.3871246390513427,-64.1959,-63.0239,0,23.649366515084004,-67.3959,-64.4366,0,4.929880363747787,-68.0308,-65.8047,0,9.74310621208354,-70.0152,-65.9225,0,1.6419981792748208
9,9,9,HumphreysBock_1_PPD,PPD,The jurors in the folding chairs,are,is,100,95.3795848046833,-2.423654556274414,-5.4510345458984375,100,98.76754324083393,-1.7732763290405271,-6.157035827636719,100,96.66918374821665,-2.4265289306640625,-5.7946062088012695,100,97.63845047126641,-2.8883647918701167,-6.610318183898926,100,97.09453693451476,-2.1051130294799805,-5.614205360412598,100,95.3795848046833,-2.423654556274414,-5.4510345458984375,100,98.76754324083393,-1.7732763290405271,-6.157035827636719,100,96.66918374821665,-2.4265289306640625,-5.7946062088012695,100,97.63845047126641,-2.8883647918701167,-6.610318183898926,100,97.09453693451476,-2.1051130294799805,-5.614205360412598,-61.6482,-67.2406,100,99.62877575460264,-58.6405,-63.6413,100,99.33124654226954,-60.2852,-63.916,100,97.41888850292085,-61.8784,-67.5509,100,99.65725315641637,-59.2797,-61.8548,100,92.92417635769395
10,10,10,HumphreysBock_1_PPC,PPC,The jurors near the folding chairs,are,is,100,96.73881185770264,-2.432523727416992,-5.822446823120117,100,98.75201709705587,-1.804838180541992,-6.175921440124513,100,93.16505775697249,-2.5539159774780282,-5.166240692138672,100,94.11061567363122,-2.9100856781005864,-5.681405067443848,100,96.56102571551227,-2.041146278381348,-5.376148223876953,100,96.73881185770264,-2.4325237274169917,-5.822446823120117,100,98.75201709705587,-1.804838180541992,-6.175921440124513,100,93.16505775697249,-2.553915977478028,-5.166240692138672,100,94.11061567363122,-2.9100856781005864,-5.681405067443848,100,96.56102571551227,-2.041146278381348,-5.376148223876953,-65.7882,-70.9436,100,99.42649086506675,-64.3958,-69.165,100,99.15842586254436,-66.0675,-69.2835,100,96.14319657896712,-69.6354,-75.8253,100,99.79541622860584,-64.9037,-66.0887,100,76.58456258197957
11,11,11,HumphreysBock_1_PSC,PSC,The jurors near the folding chair,are,is,100,96.50068618612694,-2.110666275024414,-5.42764949798584,100,92.89042901767726,-2.0259113311767583,-4.5958900451660165,100,80.05125076893303,-2.78865909576416,-4.178159713745116,100,73.11558819468019,-3.4070663452148438,-4.407561302185059,100,94.66714420381382,-1.9084157943725584,-4.784895896911621,100,96.50068618612694,-2.110666275024414,-5.42764949798584,100,92.89042901767726,-2.0259113311767583,-4.5958900451660165,100,80.05125076893303,-2.78865909576416,-4.178159713745116,100,73.11558819468019,-3.407066345214844,-4.407561302185059,100,94.66714420381382,-1.9084157943725584,-4.784895896911621,-66.2445,-67.1369,100,70.93851999032125,-62.132,-65.0307,100,94.77821358549187,-65.4537,-66.8389,100,79.98248447333634,-67.1813,-72.7742,100,99.62896063180793,-67.2876,-64.2487,0,4.569911859867502
12,12,12,HumphreysBock_2_CPD,CPD,The crew in the lifeboats,are,is,100,71.67077848330975,-2.8913822174072266,-3.819571495056152,100,84.58286808377257,-3.6387319564819336,-5.340984344482422,100,74.0780795977527,-3.5547075271606445,-4.604738235473633,100,63.00325048466511,-3.9244766235351562,-4.456832885742188,100,79.26136792579716,-3.333627700805664,-4.674380302429199,100,71.67077848330975,-2.8913822174072266,-3.819571495056152,100,84.58286808377257,-3.6387319564819336,-5.340984344482422,100,74.0780795977527,-3.5547075271606445,-4.604738235473633,100,63.00325048466511,-3.924476623535156,-4.456832885742188,100,79.26136792579716,-3.3336277008056636,-4.674380302429199,-47.7365,-45.9803,0,14.726690202474794,-47.1539,-46.3153,0,30.182972207947024,-44.8611,-43.3221,0,17.66806923759992,-51.614,-47.9174,0,2.420720376097046,-45.2124,-45.3794,100,54.1653239367602
13,13,13,HumphreysBock_2_CPC,CPC,The crew for the lifeboats,are,is,100,52.17990881190789,-3.862106323242188,-3.9493579864501953,100,67.83250789625795,-3.995457649230957,-4.7415428161621085,100,68.83184727408178,-4.029465675354004,-4.821735382080078,0,46.84061494432808,-4.477622985839844,-4.351078987121582,100,78.17783727367305,-3.885432243347168,-5.161492347717285,100,52.179908811907886,-3.862106323242188,-3.9493579864501953,100,67.83250789625795,-3.995457649230957,-4.7415428161621085,100,68.83184727408178,-4.029465675354004,-4.821735382080078,0,46.84061494432808,-4.477622985839844,-4.351078987121582,100,78.17783727367305,-3.885432243347168,-5.161492347717285,-46.8615,-44.2797,0,7.031896626575719,-47.6214,-46.0847,0,17.70155098484229,-44.6269,-43.3343,0,21.541305897659957,-51.6643,-47.4685,0,1.4835290636488025,-44.5943,-45.1792,100,64.219411520083
14,14,14,HumphreysBock_2_CSC,CSC,The crew for the lifeboat,are,is,0,29.08492556765556,-4.484502792358398,-3.5932397842407227,0,28.841092458787866,-5.162530899047852,-4.259416580200194,0,30.36475061066617,-4.58994197845459,-3.759953498840332,0,14.033187752683348,-5.4929466247558585,-3.680410385131837,0,16.499337359992072,-4.97310733795166,-3.3515729904174805,0,29.08492556765556,-4.484502792358398,-3.5932397842407227,0,28.841092458787866,-5.162530899047852,-4.259416580200194,0,30.36475061066617,-4.58994197845459,-3.759953498840332,0,14.033187752683348,-5.4929466247558585,-3.6804103851318364,0,16.499337359992072,-4.97310733795166,-3.3515729904174805,-47.8075,-43.5477,0,1.3928386916872348,-49.9041,-46.847,0,4.4911934079695275,-44.4706,-42.3206,0,10.433122311900172,-52.2448,-46.9206,0,0.48486235605039235,-46.5685,-44.7211,0,13.617845589632624
15,15,15,HumphreysBock_2_PPD,PPD,The sailors in the lifeboats,are,is,100,90.70895845399988,-2.9689950942993164,-5.247600555419922,100,96.8746778790526,-3.006702423095703,-6.440583229064941,100,97.1275206744706,-2.9044523239135738,-6.425301551818848,100,94.06351826239529,-3.7178468704223633,-6.480700492858888,100,97.9941309589851,-2.516840934753418,-6.405671119689941,100,90.70895845399988,-2.9689950942993164,-5.247600555419922,100,96.8746778790526,-3.006702423095703,-6.440583229064941,100,97.1275206744706,-2.9044523239135738,-6.425301551818848,100,94.06351826239529,-3.7178468704223633,-6.480700492858888,100,97.9941309589851,-2.516840934753418,-6.405671119689941,-45.2795,-42.0618,0,3.850504671544296,-45.5387,-47.2961,100,85.28837294318473,-44.5324,-43.2593,0,21.872704507354527,-46.7533,-43.9084,0,5.494554221219601,-39.2827,-41.8636,100,92.96221741881459
16,16,16,HumphreysBock_2_PPC,PPC,The sailors for the lifeboats,are,is,100,85.70699758148935,-3.3909311294555664,-5.182095527648926,100,95.12300730933542,-3.381158828735352,-6.351800918579103,100,94.884801575863,-3.4833202362060547,-6.4037675857543945,100,89.8833052709916,-3.8742523193359375,-6.058577537536621,100,95.63115293130035,-3.450031280517578,-6.5360307693481445,100,85.70699758148935,-3.3909311294555664,-5.182095527648926,100,95.12300730933542,-3.381158828735352,-6.3518009185791025,100,94.884801575863,-3.4833202362060547,-6.4037675857543945,100,89.8833052709916,-3.8742523193359375,-6.058577537536621,100,95.63115293130035,-3.450031280517578,-6.5360307693481445,-43.775,-40.1929,0,2.7064365289148458,-46.7399,-47.476,100,67.61424456038402,-46.0448,-44.6837,0,20.406158162498926,-47.8834,-44.5559,0,3.4639732650009836,-41.6641,-45.0486,100,96.72165945340835
17,17,17,HumphreysBock_2_PSC,PSC,The sailors for the lifeboat,are,is,100,74.4646910621972,-3.956872940063477,-5.027135848999023,100,87.5756176210899,-3.636744499206543,-5.58958625793457,100,78.9281756939577,-3.673195838928223,-4.993797302246094,100,58.24947543355538,-4.6338844299316415,-4.966907501220703,100,78.80892325514998,-3.59896183013916,-4.912407875061035,100,74.4646910621972,-3.956872940063477,-5.027135848999023,100,87.5756176210899,-3.636744499206543,-5.58958625793457,100,78.9281756939577,-3.673195838928223,-4.993797302246094,100,58.24947543355538,-4.6338844299316415,-4.966907501220703,100,78.80892325514998,-3.59896183013916,-4.912407875061035,-44.3595,-39.2781,0,0.6172866284256011,-48.3002,-46.8674,0,19.266278666444276,-45.5789,-43.6155,0,12.309956039924565,-48.378,-44.2172,0,1.5355605026017831,-42.5745,-44.0816,100,81.86310292714816
18,18,18,HumphreysBock_3_CPD,CPD,The clan in the ancient castles,are,is,0,39.768619123853405,-4.201093673706056,-3.7859783172607417,100,60.6635690806849,-3.696944236755371,-4.130136489868163,100,58.2398964770955,-3.7783374786376953,-4.110966682434082,0,37.04064096827802,-4.425670623779297,-3.895196914672852,100,62.006099578984134,-4.153169631958009,-4.642976760864258,0,39.768619123853405,-4.201093673706056,-3.7859783172607417,100,60.663569080684894,-3.696944236755371,-4.130136489868163,100,58.2398964770955,-3.7783374786376953,-4.110966682434082,0,37.04064096827802,-4.425670623779297,-3.895196914672852,100,62.006099578984134,-4.153169631958009,-4.642976760864258,-65.777,-62.8159,0,4.921450886851783,-68.0327,-63.8241,0,1.4649373121484837,-63.4766,-61.5841,0,13.095968373090994,-65.5661,-62.053,0,2.894178560458757,-61.159,-59.44,0,15.200001481603156
19,19,19,HumphreysBock_3_CPC,CPC,The clan with the ancient castles,are,is,0,38.20452992690436,-4.442724227905273,-3.961848258972168,0,49.56191707147179,-4.1829261779785165,-4.165402412414552,100,75.60511103856228,-4.505647659301758,-5.636797904968263,0,49.785949107342034,-4.694267272949219,-4.685705184936523,0,29.39645227798405,-4.935413360595703,-4.059206962585448,0,38.20452992690436,-4.442724227905273,-3.961848258972168,0,49.56191707147179,-4.1829261779785165,-4.165402412414552,100,75.60511103856228,-4.505647659301758,-5.636797904968263,0,49.785949107342034,-4.694267272949219,-4.685705184936523,0,29.39645227798405,-4.935413360595703,-4.059206962585448,-67.9332,-64.9533,0,4.83422290379174,-68.2193,-64.386,0,2.1179801484621197,-60.9309,-59.627,0,21.350938504471827,-66.148,-62.7981,0,3.3898438940015216,-62.4857,-61.0661,0,19.472429863105102
20,20,20,HumphreysBock_3_CSC,CSC,The clan with the ancient castle,are,is,0,5.234678349192753,-5.690042495727539,-2.793944358825684,0,5.194189023894368,-5.290369987487793,-2.3860797882080083,0,7.8128670216779605,-6.420902729034424,-3.9528541564941406,0,17.033717116435735,-4.596495628356934,-3.013256072998047,0,7.845738955384665,-5.438140869140625,-2.9746475219726562,0,5.234678349192753,-5.690042495727539,-2.793944358825684,0,5.194189023894368,-5.290369987487793,-2.3860797882080083,0,7.81286702167796,-6.420902729034424,-3.9528541564941406,0,17.033717116435735,-4.596495628356934,-3.013256072998047,0,7.845738955384665,-5.438140869140625,-2.974647521972656,-79.1723,-74.7064,0,1.1363727573056608,-70.4566,-65.5913,0,0.7650533090460673,-65.821,-63.9509,0,13.353015212414151,-71.6436,-68.7076,0,5.040237716605642,-71.3855,-68.0882,0,3.566393138636049
21,21,21,HumphreysBock_3_PPD,PPD,The princes in the ancient castles,are,is,100,96.86167875583486,-4.026247978210448,-7.455843925476074,100,95.46227216106571,-3.4967823028564453,-6.5430870056152335,100,97.31508102321699,-3.2273006439208984,-6.817604064941406,100,94.13507278537784,-3.99404525756836,-6.7697858810424805,100,98.4416206410236,-3.239474296569824,-7.385291576385497,100,96.86167875583486,-4.026247978210448,-7.455843925476074,100,95.46227216106571,-3.4967823028564453,-6.5430870056152335,100,97.315081023217,-3.2273006439208984,-6.817604064941406,100,94.13507278537784,-3.99404525756836,-6.7697858810424805,100,98.4416206410236,-3.2394742965698238,-7.385291576385497,-47.5971,-53.8543,100,99.80870615630155,-52.6289,-55.8951,100,96.32508935475522,-50.6924,-55.1314,100,98.83300553185846,-46.4385,-51.6834,100,99.47533236992864,-45.2744,-46.9111,100,83.70854055614471
22,22,22,HumphreysBock_3_PPC,PPC,The princes with the ancient castles,are,is,100,97.75269675350387,-4.255819320678712,-8.028529167175293,100,91.56915627025455,-4.354082107543944,-6.739279747009277,100,97.58639795583427,-4.050736427307129,-7.750354290008545,100,91.79161540656268,-4.843822479248047,-7.258187294006348,100,95.9572158470546,-3.4127407073974614,-6.579709529876709,100,97.75269675350387,-4.255819320678712,-8.028529167175293,100,91.56915627025455,-4.354082107543944,-6.739279747009277,100,97.58639795583427,-4.050736427307129,-7.750354290008545,100,91.79161540656268,-4.843822479248047,-7.258187294006348,100,95.9572158470546,-3.4127407073974614,-6.579709529876709,-49.6356,-55.6447,100,99.75497207616571,-52.9427,-55.8446,100,94.7940280821781,-50.0229,-54.9976,100,99.3136836713918,-47.6429,-52.8622,100,99.46180070042271,-46.6425,-47.4762,100,69.71367065045216
23,23,23,HumphreysBock_3_PSC,PSC,The princes with the ancient castle,are,is,100,95.43471240198635,-4.122222900390625,-7.16218376159668,100,57.625533332950894,-4.1996240615844735,-4.507043838500977,100,78.4912454300913,-4.529971122741699,-5.824498176574707,100,63.44716634228281,-4.496146202087402,-5.047595024108887,100,94.20672366955485,-3.133376121520996,-5.9221696853637695,100,95.43471240198635,-4.122222900390625,-7.16218376159668,100,57.625533332950894,-4.1996240615844735,-4.507043838500977,100,78.4912454300913,-4.529971122741699,-5.824498176574707,100,63.44716634228281,-4.496146202087402,-5.047595024108887,100,94.20672366955485,-3.133376121520996,-5.9221696853637695,-58.8208,-64.3727,100,99.61349187300088,-56.8959,-58.181,100,78.33166586370143,-54.7336,-58.1192,100,96.7251456133033,-54.3094,-59.5236,100,99.45906375843217,-56.1649,-54.6054,0,17.371840547131463
24,24,24,HumphreysBock_4_CPD,CPD,The gang on the motorcycles,are,is,0,45.88035586503639,-3.083735466003418,-2.9185752868652344,100,53.35211237785343,-3.848332405090332,-3.98261833190918,100,63.79700879883896,-3.04572868347168,-3.612293243408203,0,40.78816911047952,-4.304560661315918,-3.9318313598632812,100,56.11814590196308,-4.111888885498047,-4.357847213745116,0,45.88035586503639,-3.083735466003418,-2.9185752868652344,100,53.35211237785343,-3.848332405090332,-3.98261833190918,100,63.79700879883896,-3.04572868347168,-3.612293243408203,0,40.78816911047952,-4.304560661315918,-3.931831359863281,100,56.11814590196308,-4.111888885498047,-4.357847213745116,-56.2493,-53.7487,0,7.581612849406475,-53.0553,-51.5564,0,18.258964221888483,-49.9693,-49.1937,0,31.526896065666833,-54.1199,-50.8897,0,3.804492689261169,-49.8625,-50.2946,100,60.63750173895437
